True_Label,Predicted_Label,Correct
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
XIAOMI-10MI1,OPPO-FINDX3PRO_2,False
HUAWEI-PadSE,HUAWEI-PadSE,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-PadSE,HUAWEI-PadSE,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
XIAOMI-10MI1,XIAOMI-10MI1,True
HONOR-70_2,HUAWEI-PadSE,False
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-PadSE,HUAWEI-PadSE,True
HUAWEI-MateBook,HUAWEI-MateBook,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
OPPO-FINDX3_2,OPPO-FINDX3_2,True
VIVO-X60_2,VIVO-X60_2,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
OPPO-A36,OPPO-A36,True
HONOR-70_1,HONOR-70_1,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
VIVO-X60_2,VIVO-X60_2,True
HUAWEI-PadSE,XIAOMI-MI11Lite,False
HUAWEI-MateBook,HUAWEI-MateBook,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
IQOO-Z9X,IQOO-Z9X,True
HUAWEI-MateBook,HUAWEI-MateBook,True
IQOO-Z9X,IQOO-Z9X,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
HONOR-70_1,HONOR-70_1,True
HONOR-70_1,HONOR-70_1,True
IQOO-Z9X,IQOO-Z9X,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
XIAOMI-10MI1,XIAOMI-10MI1,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
VIVO-X60_2,VIVO-X60_2,True
IQOO-Z9X,IQOO-Z9X,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
XIAOMI-13,XIAOMI-13,True
HONOR-70_2,HONOR-70_2,True
OPPO-A36,OPPO-A36,True
XIAOMI-13,XIAOMI-13,True
XIAOMI-13,XIAOMI-13,True
VIVO-X60_2,VIVO-X60_2,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
OPPO-FINDX3_2,OPPO-FINDX3_2,True
HONOR-70_2,HONOR-70_2,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
HONOR-70_2,HUAWEI-PadSE,False
XIAOMI-13,OPPO-FINDX3PRO_2,False
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
OPPO-A36,OPPO-A36,True
OPPO-FINDX3_2,OPPO-FINDX3_2,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
HUAWEI-mate50pro,OPPO-FINDX3PRO_2,False
OPPO-FINDX3_2,OPPO-FINDX3_2,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
OPPO-A36,OPPO-A36,True
