Rank,Feature_Name,Importance_Score
1,Range_2,0.1995170376589266
2,6_Count,0.1353923778722767
3,Range_1,0.10816567713302414
4,Range_1_2,0.05919952102382122
5,ex_3_3_4,0.05562378747180403
6,Lack_Count,0.052542874673784795
7,ex_2_2_2_3,0.0463100248900821
8,ex_2_2_3,0.02994799257872287
9,lk_elem_1,0.027104599480134498
10,lk_elem_5,0.026109701827287553
11,lk_elem_2,0.025704801357670372
12,ex_4_4_5,0.02425212045848931
13,ex_3_2_2_3_4,0.016422507107396032
14,ex_1_3_2,0.014101962257893525
15,lk_elem_4,0.012897678592778064
16,ex_3_2_3_4,0.01275825807964888
17,ex_3_3_3_4,0.012147154361855858
18,ex_3_3_5_5,0.01080325422160218
19,ex_5_5_5,0.010779894352358675
20,lk_elem_3,0.009970104257981597
21,ex_1_1_1_1_2,0.007966736068265928
22,ex_3_2_2_4,0.007683110351327045
23,ex_3_3_3_3_3_3_3_3_3_4,0.005493896131552565
24,ex_3_5_5,0.00542689754550383
25,ex_2_2_2_1_2_2_3,0.00499748783491532
26,ex_2_2_1_2_2_2_1_1_2_2_3,0.004987869826969517
27,ex_4_4_4,0.0049404056645742135
28,ex_2_2_2_1_2_2_2_3,0.004907387063070237
29,ex_3_3_3_3_3_3_3_3_4,0.004809925182766128
30,ex_1_1_2,0.004379938013627757
31,ex_1_1_1_2,0.0043167592047212875
32,ex_2_2_2_4_5_5,0.0037134985886580073
33,ex_4_3_5,0.003673636023043975
34,ex_1_3_3_4_5_5,0.003672665596181984
35,ex_3_3_3_3_3_4,0.0033806054808986695
36,ex_3_3_3,0.0033436851070725027
37,ex_2_1_2_2_2_1_2_3,0.003218177020816393
38,ex_2_2_2_1_2_2_1_2_3,0.003206229475949469
39,ex_3_3_3_3_4,0.003168126088345351
40,ex_3_2_3_5_5,0.0028856544480415558
41,ex_2_2_4_5_5,0.002843052721913071
42,ex_3_2_4,0.002694990839288565
43,ex_2_1_2_2_2_1_2_2_2_3,0.002560055921431728
44,ex_4_4_4_5,0.002497778804313343
45,ex_2_2_2_1_2_2_1_3,0.0022001883289220307
46,ex_2_2_1_2_3,0.0021572324163112856
47,ex_1_1_3_2,0.001889337732345496
48,ex_5_5_5_5_5,0.0017089961519684929
49,ex_1_1_1_1_1_2,0.0015243467096653282
50,ex_4_1_2_3_3_3,0.0
51,ex_3_3_3_3_3_3_3_4,0.0
52,ex_1_1_1_3_2,0.0
53,ex_1_5_5,0.0
54,ex_2_1_2_2_3,0.0
55,ex_2_2_1_2_2_1_2_3,0.0
56,ex_2_2_1_2_2_2_1_2_2_3,0.0
57,ex_2_2_1_2_2_2_1_2_3,0.0
58,ex_2_2_2_1_1_1_1_1_1_1_3,0.0
59,ex_2_2_2_1_2_3,0.0
60,ex_2_2_4_4,0.0
61,ex_2_4_5_5,0.0
62,ex_3_2_2_2_3_4,0.0
63,ex_3_2_2_3_5_5,0.0
64,ex_3_3_3_2_3_2_3_4,0.0
65,ex_4_4_4_4_5,0.0
66,ex_4_4_4_4_4_5,0.0
67,ex_3_2_3_3,0.0
